area,header,class,method,method_line,method_status,priority,next_phase,implementation_group,signature,rationale
modules/sksg,modules/sksg/include/SkSGColorFilter.h,GradientColorFilter,Make,74,missing,P3,Phase 9 optional,sksg_graph_ownership_design,"static sk_sp<GradientColorFilter> Make(sk_sp<RenderNode> child, sk_sp<Color> c0, sk_sp<Color> c1);",SKSG needs graph ownership design; shortlist identifies first concrete nodes to review.
modules/sksg,modules/sksg/include/SkSGColorFilter.h,GradientColorFilter,Make,74,missing,P3,Phase 9 optional,sksg_graph_ownership_design,"static sk_sp<GradientColorFilter> Make(sk_sp<RenderNode> child, std::vector<sk_sp<Color>>);",SKSG needs graph ownership design; shortlist identifies first concrete nodes to review.
modules/sksg,modules/sksg/include/SkSGColorFilter.h,ModeColorFilter,Make,53,missing,P3,Phase 9 optional,sksg_graph_ownership_design,"static sk_sp<ModeColorFilter> Make(sk_sp<RenderNode> child, sk_sp<Color> color, SkBlendMode mode);",SKSG needs graph ownership design; shortlist identifies first concrete nodes to review.
modules/sksg,modules/sksg/include/SkSGDraw.h,Draw,Make,11,missing,P3,Phase 9 optional,sksg_graph_ownership_design,"static sk_sp<Draw> Make(sk_sp<GeometryNode> geo, sk_sp<PaintNode> paint) { return (geo && paint) ? sk_sp<Draw>(new Draw(std::move(geo), std::move(paint))) : nullptr; }",SKSG needs graph ownership design; shortlist identifies first concrete nodes to review.
modules/sksg,modules/sksg/include/SkSGGeometryEffect.h,DashEffect,Make,82,missing,P3,Phase 9 optional,sksg_graph_ownership_design,static sk_sp<DashEffect> Make(sk_sp<GeometryNode> child) { return child ? sk_sp<DashEffect>(new DashEffect(std::move(child))) : nullptr; },SKSG needs graph ownership design; shortlist identifies first concrete nodes to review.
modules/sksg,modules/sksg/include/SkSGGeometryEffect.h,GeometryTransform,Make,58,missing,P3,Phase 9 optional,sksg_graph_ownership_design,"static sk_sp<GeometryTransform> Make(sk_sp<GeometryNode> child, sk_sp<Transform> transform) { return child && transform ? sk_sp<GeometryTransform>(new GeometryTransform(std::move(child), std::move(transform))) : nullptr; }",SKSG needs graph ownership design; shortlist identifies first concrete nodes to review.
modules/sksg,modules/sksg/include/SkSGGeometryEffect.h,GeometryTransform,getTransform,58,missing,P3,Phase 9 optional,sksg_graph_ownership_design,const sk_sp<Transform>& getTransform() const { return fTransform; },SKSG needs graph ownership design; shortlist identifies first concrete nodes to review.
modules/sksg,modules/sksg/include/SkSGGeometryEffect.h,OffsetEffect,Make,122,missing,P3,Phase 9 optional,sksg_graph_ownership_design,static sk_sp<OffsetEffect> Make(sk_sp<GeometryNode> child) { return child ? sk_sp<OffsetEffect>(new OffsetEffect(std::move(child))) : nullptr; },SKSG needs graph ownership design; shortlist identifies first concrete nodes to review.
modules/sksg,modules/sksg/include/SkSGGeometryEffect.h,RoundEffect,Make,103,missing,P3,Phase 9 optional,sksg_graph_ownership_design,static sk_sp<RoundEffect> Make(sk_sp<GeometryNode> child) { return child ? sk_sp<RoundEffect>(new RoundEffect(std::move(child))) : nullptr; },SKSG needs graph ownership design; shortlist identifies first concrete nodes to review.
modules/sksg,modules/sksg/include/SkSGGeometryEffect.h,TrimEffect,Make,35,missing,P3,Phase 9 optional,sksg_graph_ownership_design,static sk_sp<TrimEffect> Make(sk_sp<GeometryNode> child) { return child ? sk_sp<TrimEffect>(new TrimEffect(std::move(child))) : nullptr; },SKSG needs graph ownership design; shortlist identifies first concrete nodes to review.
modules/sksg,modules/sksg/include/SkSGGeometryNode.h,GeometryNode,asPath,13,missing,P3,Phase 9 optional,sksg_graph_ownership_design,SkPath asPath() const;,SKSG needs graph ownership design; shortlist identifies first concrete nodes to review.
modules/sksg,modules/sksg/include/SkSGGeometryNode.h,GeometryNode,clip,13,missing,P3,Phase 9 optional,sksg_graph_ownership_design,"void clip(SkCanvas*, bool antiAlias) const;",SKSG needs graph ownership design; shortlist identifies first concrete nodes to review.
modules/sksg,modules/sksg/include/SkSGGeometryNode.h,GeometryNode,contains,13,missing,P3,Phase 9 optional,sksg_graph_ownership_design,bool contains(const SkPoint&) const;,SKSG needs graph ownership design; shortlist identifies first concrete nodes to review.
modules/skparagraph,modules/skparagraph/include/Paragraph.h,Paragraph,Paragraph,18,missing,P1,Phase 9 optional,paragraph_value_and_painter_residual,"Paragraph(ParagraphStyle style, sk_sp<FontCollection> fonts);",Paragraph residual splits into value helpers and custom painter callback design.
modules/skparagraph,modules/skparagraph/include/Paragraph.h,Paragraph,updateBackgroundPaint,18,missing,P1,Phase 9 optional,paragraph_value_and_painter_residual,"virtual void updateBackgroundPaint(size_t from, size_t to, SkPaint paint) = 0;",Paragraph residual splits into value helpers and custom painter callback design.
modules/skparagraph,modules/skparagraph/include/Paragraph.h,Paragraph,updateForegroundPaint,18,missing,P1,Phase 9 optional,paragraph_value_and_painter_residual,"virtual void updateForegroundPaint(size_t from, size_t to, SkPaint paint) = 0;",Paragraph residual splits into value helpers and custom painter callback design.
modules/skparagraph,modules/skparagraph/include/TextStyle.h,TextStyle,getBackgroundPaintOrID,148,missing,P1,Phase 9 optional,paragraph_value_and_painter_residual,ParagraphPainter::SkPaintOrID getBackgroundPaintOrID() const { return fBackground; },Paragraph residual splits into value helpers and custom painter callback design.
modules/skparagraph,modules/skparagraph/include/TextStyle.h,TextStyle,getForegroundPaintOrID,148,missing,P1,Phase 9 optional,paragraph_value_and_painter_residual,ParagraphPainter::SkPaintOrID getForegroundPaintOrID() const { return fForeground; },Paragraph residual splits into value helpers and custom painter callback design.
modules/skparagraph,modules/skparagraph/include/TextStyle.h,TextStyle,setBackgroundPaintID,148,missing,P1,Phase 9 optional,paragraph_value_and_painter_residual,void setBackgroundPaintID(ParagraphPainter::PaintID paintID) { fHasBackground = true; fBackground = paintID; },Paragraph residual splits into value helpers and custom painter callback design.
modules/skparagraph,modules/skparagraph/include/TextStyle.h,TextStyle,setForegroundPaintID,148,missing,P1,Phase 9 optional,paragraph_value_and_painter_residual,void setForegroundPaintID(ParagraphPainter::PaintID paintID) { fHasForeground = true; fForeground = paintID; },Paragraph residual splits into value helpers and custom painter callback design.
modules/skparagraph,modules/skparagraph/include/FontArguments.h,FontArguments,CloneTypeface,12,missing,P2,Phase 9 optional,paragraph_value_and_painter_residual,sk_sp<SkTypeface> CloneTypeface(const sk_sp<SkTypeface>& typeface) const;,Paragraph residual splits into value helpers and custom painter callback design.
modules/skparagraph,modules/skparagraph/include/FontArguments.h,FontArguments,FontArguments,12,missing,P2,Phase 9 optional,paragraph_value_and_painter_residual,FontArguments(const SkFontArguments&);,Paragraph residual splits into value helpers and custom painter callback design.
modules/skparagraph,modules/skparagraph/include/FontArguments.h,FontArguments,FontArguments,12,missing,P2,Phase 9 optional,paragraph_value_and_painter_residual,FontArguments(const FontArguments&) = default;,Paragraph residual splits into value helpers and custom painter callback design.
modules/skparagraph,modules/skparagraph/include/FontArguments.h,FontArguments,FontArguments,12,missing,P2,Phase 9 optional,paragraph_value_and_painter_residual,FontArguments(FontArguments&&) = default;,Paragraph residual splits into value helpers and custom painter callback design.
modules/skparagraph,modules/skparagraph/include/Metrics.h,StyleMetrics,StyleMetrics,9,missing,P2,Phase 9 optional,paragraph_value_and_painter_residual,StyleMetrics(const TextStyle* style) : text_style(style) {},Paragraph residual splits into value helpers and custom painter callback design.
modules/skparagraph,modules/skparagraph/include/Metrics.h,StyleMetrics,StyleMetrics,9,missing,P2,Phase 9 optional,paragraph_value_and_painter_residual,"StyleMetrics(const TextStyle* style, SkFontMetrics& metrics) : text_style(style), font_metrics(metrics) {}",Paragraph residual splits into value helpers and custom painter callback design.
modules/skparagraph,modules/skparagraph/include/TextStyle.h,Block,Block,337,missing,P2,Phase 9 optional,paragraph_value_and_painter_residual,Block() = default;,Paragraph residual splits into value helpers and custom painter callback design.
modules/skparagraph,modules/skparagraph/include/TextStyle.h,Block,Block,337,missing,P2,Phase 9 optional,paragraph_value_and_painter_residual,"Block(size_t start, size_t end, const TextStyle& style) : fRange(start, end), fStyle(style) {}",Paragraph residual splits into value helpers and custom painter callback design.
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,Make,34,missing,P2,Phase 9 optional,shaper_run_handler_design,static std::unique_ptr<SkShaper> Make(sk_sp<SkFontMgr> = nullptr);,SkShaper is a focused residual block but needs run handler and text/blob ownership review.
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeBiDiRunIterator,120,missing,P2,Phase 9 optional,shaper_run_handler_design,"static std::unique_ptr<BiDiRunIterator> MakeBiDiRunIterator(const char* utf8, size_t utf8Bytes, uint8_t bidiLevel);",SkShaper is a focused residual block but needs run handler and text/blob ownership review.
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeCoreText,34,missing,P2,Phase 9 optional,shaper_run_handler_design,static std::unique_ptr<SkShaper> MakeCoreText();,SkShaper is a focused residual block but needs run handler and text/blob ownership review.
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeFontMgrRunIterator,102,missing,P2,Phase 9 optional,shaper_run_handler_design,"static std::unique_ptr<FontRunIterator> MakeFontMgrRunIterator(const char* utf8, size_t utf8Bytes, const SkFont& font, sk_sp<SkFontMgr> fallback);",SkShaper is a focused residual block but needs run handler and text/blob ownership review.
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeFontMgrRunIterator,102,missing,P2,Phase 9 optional,shaper_run_handler_design,"static std::unique_ptr<SkShaper::FontRunIterator> MakeFontMgrRunIterator(const char* utf8, size_t utf8Bytes, const SkFont& font, sk_sp<SkFontMgr> fallback, const char* requestName, SkFontStyle requestStyle, const SkShaper::LanguageRunIterat",SkShaper is a focused residual block but needs run handler and text/blob ownership review.
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeHbIcuScriptRunIterator,137,missing,P2,Phase 9 optional,shaper_run_handler_design,"static std::unique_ptr<ScriptRunIterator> MakeHbIcuScriptRunIterator(const char* utf8, size_t utf8Bytes);",SkShaper is a focused residual block but needs run handler and text/blob ownership review.
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeIcuBiDiRunIterator,120,missing,P2,Phase 9 optional,shaper_run_handler_design,"static std::unique_ptr<BiDiRunIterator> MakeIcuBiDiRunIterator(const char* utf8, size_t utf8Bytes, uint8_t bidiLevel);",SkShaper is a focused residual block but needs run handler and text/blob ownership review.
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakePrimitive,34,missing,P2,Phase 9 optional,shaper_run_handler_design,static std::unique_ptr<SkShaper> MakePrimitive();,SkShaper is a focused residual block but needs run handler and text/blob ownership review.
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeScriptRunIterator,137,missing,P2,Phase 9 optional,shaper_run_handler_design,"static std::unique_ptr<ScriptRunIterator> MakeScriptRunIterator(const char* utf8, size_t utf8Bytes, SkFourByteTag script);",SkShaper is a focused residual block but needs run handler and text/blob ownership review.
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeShapeDontWrapOrReorder,34,missing,P2,Phase 9 optional,shaper_run_handler_design,"static std::unique_ptr<SkShaper> MakeShapeDontWrapOrReorder(std::unique_ptr<SkUnicode> unicode, sk_sp<SkFontMgr> = nullptr);",SkShaper is a focused residual block but needs run handler and text/blob ownership review.
