area,header,class,method,method_line,method_static,method_status,matched_capi,triage,priority,next_phase,residual_kind,signature,note
include/core,include/core/SkFlattenable.h,SkFlattenable,SkFlattenable,26,no,missing,SkFlattenable_Deserialize|SkFlattenable_FactoryToName|SkFlattenable_NameToFactory|SkFlattenable_Register|SkFlattenable_flatten|SkFlattenable_getFactory|SkFlattenable_getFlattenableType|SkFlattenable_getTypeName,na,P3,Phase 9 callback/provider,tracked,SkFlattenable() {},abstract base construction; not directly instantiable/useful through C ABI
include/core,include/core/SkFontStyle.h,SkFontStyle,SkFontStyle,40,no,false_positive,SkFontStyle_Bold|SkFontStyle_BoldItalic|SkFontStyle_Italic|SkFontStyle_Normal|SkFontStyle_delete|SkFontStyle_slant|SkFontStyle_weight|SkFontStyle_width,false_positive,P0,Phase 10,coverage_polish,"constexpr SkFontStyle(int weight, int width, Slant slant) : fValue( (SkTPin<int>(weight, kInvisible_Weight, kExtraBlack_Weight)) + (SkTPin<int>(width, kUltraCondensed_Width, kUltraExpanded_Width) << 16) + (SkTPin<int>(slant, kUpright_Slant,",constructor is covered by existing SkFontStyle constructor C API under project naming
include/core,include/core/SkM44.h,SkV4,operator[],90,no,false_positive,SkV4_Dot|SkV4_Normalize|SkV4_add|SkV4_delete|SkV4_dot|SkV4_equals|SkV4_length|SkV4_lengthSquared,false_positive,P0,Phase 10,coverage_polish,float operator[](int i) const { SkASSERT(i >= 0 && i < 4); return this->ptr()[i]; },index operator convenience is covered better by ptr/component accessors; avoid operator-shaped C ABI
include/core,include/core/SkM44.h,SkV4,operator[],90,no,false_positive,SkV4_Dot|SkV4_Normalize|SkV4_add|SkV4_delete|SkV4_dot|SkV4_equals|SkV4_length|SkV4_lengthSquared,false_positive,P0,Phase 10,coverage_polish,float& operator[](int i) { SkASSERT(i >= 0 && i < 4); return this->ptr()[i]; },index operator convenience is covered better by ptr/component accessors; avoid operator-shaped C ABI
include/core,include/core/SkM44.h,SkM44,operator*,158,no,false_positive,SkM44_ColMajor|SkM44_Cols|SkM44_LookAt|SkM44_Perspective|SkM44_RectToRect|SkM44_Rotate|SkM44_RowMajor|SkM44_Rows,false_positive,P0,Phase 10,coverage_polish,"SkV4 operator*(const SkV4& v) const { return this->map(v.x, v.y, v.z, v.w); }",operator* vector mapping is covered by SkM44_map/asM33 style named APIs
include/core,include/core/SkM44.h,SkM44,operator*,158,no,false_positive,SkM44_ColMajor|SkM44_Cols|SkM44_LookAt|SkM44_Perspective|SkM44_RectToRect|SkM44_Rotate|SkM44_RowMajor|SkM44_Rows,false_positive,P0,Phase 10,coverage_polish,"SkV3 operator*(SkV3 v) const { auto v4 = this->map(v.x, v.y, v.z, 0); return {v4.x, v4.y, v4.z}; }",operator* vector mapping is covered by SkM44_map/asM33 style named APIs
include/core,include/core/SkMatrix.h,SkMatrix,operator[],100,no,false_positive,SkMatrix_Concat|SkMatrix_I|SkMatrix_InvalidMatrix|SkMatrix_MakeAll|SkMatrix_MakeRectToRect|SkMatrix_RectToRect|SkMatrix_RotateDeg|SkMatrix_RotateDegAroundPoint,false_positive,P0,Phase 10,coverage_polish,"SkScalar operator[](int index) const { SkASSERT((unsigned)index < 9); return fMat[index]; } SkScalar get(int index) const { SkASSERT((unsigned)index < 9); return fMat[index]; } SkScalar rc(int r, int c) const { SkASSERT(r >= 0 && r <= 2); S",operator[] is already covered by explicit SkMatrix_get/SkMatrix_set C API
include/core,include/core/SkPicture.h,SkPicture,~SkPicture,23,no,false_positive,SkPicture_MakeFromData|SkPicture_MakeFromMemory|SkPicture_MakeFromStream|SkPicture_MakePlaceholder|SkPicture_approximateBytesUsed|SkPicture_approximateOpCount|SkPicture_cullRect|SkPicture_makeShader,false_positive,P0,Phase 10,coverage_polish,~SkPicture() override;,destructor is already represented by release/delete/unref conventions or is not public construction surface
include/core,include/core/SkPixelRef.h,SkPixelRef,~SkPixelRef,16,no,false_positive,SkPixelRef_addGenIDChangeListener|SkPixelRef_diagnostic_only_getDiscardable|SkPixelRef_dimensions|SkPixelRef_getGenerationID|SkPixelRef_height|SkPixelRef_isImmutable|SkPixelRef_new|SkPixelRef_notifyAddedToCache,false_positive,P0,Phase 10,coverage_polish,~SkPixelRef() override;,destructor is already represented by release/delete/unref conventions or is not public construction surface
include/core,include/core/SkRefCnt.h,SkRefCntBase,~SkRefCntBase,14,no,false_positive,SkRefCntBase_new|SkRefCntBase_ref|SkRefCntBase_release|SkRefCntBase_unique|SkRefCntBase_unref,false_positive,P0,Phase 10,coverage_polish,"virtual ~SkRefCntBase() { SkASSERTF(this->getRefCnt() == 1, ""fRefCnt was %d"", this->getRefCnt()); fRefCnt.store(0, std::memory_order_relaxed); }",destructor is represented by existing delete/ref/unref/release conventions; not a standalone C ABI target
include/core,include/core/SkRefCnt.h,SkRefCnt,deref,88,no,false_positive,SkRefCnt_ref|SkRefCnt_release|SkRefCnt_unique|SkRefCnt_unref,false_positive,P0,Phase 10,coverage_polish,void deref() const { this->unref(); },refcount internals are already represented through type-specific ref/unref APIs; no standalone binding
include/core,include/core/SkRegion.h,SkRegion,toString,138,no,na,SkRegion_computeRegionComplexity|SkRegion_contains|SkRegion_containsIRect|SkRegion_containsRegion|SkRegion_delete|SkRegion_equals|SkRegion_getBoundaryPath|SkRegion_getBounds,na,P3,Phase 10,coverage_polish,char* toString();,Phase C 2026-05-06 rechecked upstream header; API is guarded by SK_BUILD_FOR_ANDROID_FRAMEWORK and is not available in current default Reskia build
include/core,include/core/SkString.h,SkString,operator[],77,no,false_positive,SkString_append|SkString_appendHex|SkString_appendS32|SkString_appendS64|SkString_appendScalar|SkString_appendString|SkString_appendStringView|SkString_appendTextWithLength,false_positive,P0,Phase 10,coverage_polish,char operator[](size_t n) const { return this->c_str()[n]; },operator convenience is covered by set/append/dataMutable style C APIs or should not be exposed as operator syntax
include/core,include/core/SkString.h,SkString,operator[],77,no,false_positive,SkString_append|SkString_appendHex|SkString_appendS32|SkString_appendS64|SkString_appendScalar|SkString_appendString|SkString_appendStringView|SkString_appendTextWithLength,false_positive,P0,Phase 10,coverage_polish,char& operator[](size_t n) { return this->data()[n]; },operator convenience is covered by set/append/dataMutable style C APIs or should not be exposed as operator syntax
include/core,include/core/SkString.h,SkString,operator+=,77,no,false_positive,SkString_append|SkString_appendHex|SkString_appendS32|SkString_appendS64|SkString_appendScalar|SkString_appendString|SkString_appendStringView|SkString_appendTextWithLength,false_positive,P0,Phase 10,coverage_polish,SkString& operator+=(const SkString& s) { this->append(s); return *this; },operator convenience is covered by set/append/dataMutable style C APIs or should not be exposed as operator syntax
include/core,include/core/SkString.h,SkString,operator+=,77,no,false_positive,SkString_append|SkString_appendHex|SkString_appendS32|SkString_appendS64|SkString_appendScalar|SkString_appendString|SkString_appendStringView|SkString_appendTextWithLength,false_positive,P0,Phase 10,coverage_polish,SkString& operator+=(const char text[]) { this->append(text); return *this; },operator convenience is covered by set/append/dataMutable style C APIs or should not be exposed as operator syntax
include/core,include/core/SkString.h,SkString,operator+=,77,no,false_positive,SkString_append|SkString_appendHex|SkString_appendS32|SkString_appendS64|SkString_appendScalar|SkString_appendString|SkString_appendStringView|SkString_appendTextWithLength,false_positive,P0,Phase 10,coverage_polish,"SkString& operator+=(const char c) { this->append(&c, 1); return *this; }",operator convenience is covered by set/append/dataMutable style C APIs or should not be exposed as operator syntax
include/core,include/core/SkStrokeRec.h,SkStrokeRec,SkStrokeRec,15,no,false_positive,SkStrokeRec_GetInflationRadius|SkStrokeRec_GetInflationRadiusWithJoinMiterCapAndStrokeWidth|SkStrokeRec_applyToPaint|SkStrokeRec_applyToPath|SkStrokeRec_delete|SkStrokeRec_getCap|SkStrokeRec_getInflationRadius|SkStrokeRec_getJoin,false_positive,P0,Phase 10,coverage_polish,SkStrokeRec(InitStyle style);,constructors are covered by SkStrokeRec_static* factory-style C APIs
include/core,include/core/SkStrokeRec.h,SkStrokeRec,SkStrokeRec,15,no,false_positive,SkStrokeRec_GetInflationRadius|SkStrokeRec_GetInflationRadiusWithJoinMiterCapAndStrokeWidth|SkStrokeRec_applyToPaint|SkStrokeRec_applyToPath|SkStrokeRec_delete|SkStrokeRec_getCap|SkStrokeRec_getInflationRadius|SkStrokeRec_getJoin,false_positive,P0,Phase 10,coverage_polish,"SkStrokeRec(const SkPaint&, SkPaint::Style, SkScalar resScale = 1);",constructors are covered by SkStrokeRec_static* factory-style C APIs
include/core,include/core/SkStrokeRec.h,SkStrokeRec,SkStrokeRec,15,no,false_positive,SkStrokeRec_GetInflationRadius|SkStrokeRec_GetInflationRadiusWithJoinMiterCapAndStrokeWidth|SkStrokeRec_applyToPaint|SkStrokeRec_applyToPath|SkStrokeRec_delete|SkStrokeRec_getCap|SkStrokeRec_getInflationRadius|SkStrokeRec_getJoin,false_positive,P0,Phase 10,coverage_polish,"explicit SkStrokeRec(const SkPaint&, SkScalar resScale = 1);",constructors are covered by SkStrokeRec_static* factory-style C APIs
include/core,include/core/SkTypeface.h,SkTypeface,createScalerContext,156,no,missing,SkTypeface_Equal|SkTypeface_MakeDefault|SkTypeface_MakeDeserialize|SkTypeface_MakeDeserializeWithoutFontMgr|SkTypeface_MakeEmpty|SkTypeface_MakeFromData|SkTypeface_MakeFromFile|SkTypeface_MakeFromName,na,P3,Phase 9 callback/provider,tracked,"std::unique_ptr<SkScalerContext> createScalerContext(const SkScalerContextEffects&, const SkDescriptor*) const;",subclass/implementation hook; exposing requires callback/subclass ABI design and is not part of ordinary consumer C API
include/core,include/core/SkTypeface.h,SkTypeface,Register,156,yes,missing,SkTypeface_Equal|SkTypeface_MakeDefault|SkTypeface_MakeDeserialize|SkTypeface_MakeDeserializeWithoutFontMgr|SkTypeface_MakeEmpty|SkTypeface_MakeFromData|SkTypeface_MakeFromFile|SkTypeface_MakeFromName,real_gap,P3,Phase 9 callback/provider,tracked,"static void Register( FactoryId id, sk_sp<SkTypeface> (*make)(std::unique_ptr<SkStreamAsset>, const SkFontArguments&));","Phase 5A callback/global registration foundation: global typeface factory requires stream asset transfer, callback context lifetime, replacement, and returned SkTypeface ownership design"
include/effects,include/effects/SkBlurMaskFilter.h,SkBlurMaskFilter,MakeEmboss,11,yes,na,,na,P3,Phase 10,coverage_polish,"static sk_sp<SkMaskFilter> MakeEmboss(SkScalar blurSigma, const SkScalar direction[3], SkScalar ambient, SkScalar specular);",legacy factory guarded by SK_SUPPORT_LEGACY_EMBOSSMASKFILTER; not available in the current default build unless that macro is enabled
include/effects,include/effects/SkLayerDrawLooper.h,SkLayerDrawLooper,~SkLayerDrawLooper,13,no,false_positive,,false_positive,P0,Phase 10,coverage_polish,~SkLayerDrawLooper() override;,destructor is already represented by release/delete/unref conventions or is not public construction surface
include/effects,include/effects/SkRuntimeEffect.h,SkRuntimeEffect,~SkRuntimeEffect,217,no,false_positive,SkRuntimeEffect_MakeForBlender|SkRuntimeEffect_MakeForBlenderDefault|SkRuntimeEffect_MakeForColorFilter|SkRuntimeEffect_MakeForColorFilterDefault|SkRuntimeEffect_MakeForShader|SkRuntimeEffect_MakeForShaderDefault|SkRuntimeEffect_MakeTraced|SkRuntimeEffect_RegisterFlattenables,false_positive,P0,Phase 10,coverage_polish,~SkRuntimeEffect() override;,destructor is already represented by release/delete/unref conventions or is not public construction surface
include/gpu,include/gpu/GrBackendDrawableInfo.h,GrBackendDrawableInfo,GrBackendDrawableInfo,7,no,missing,,real_gap,P2,Phase 9 GPU,tracked,GrBackendDrawableInfo() : fIsValid(false) {},Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendDrawableInfo.h,GrBackendDrawableInfo,GrBackendDrawableInfo,7,no,missing,,real_gap,P2,Phase 9 GPU,tracked,"GrBackendDrawableInfo(const GrVkDrawableInfo& info) : fIsValid(true) , fBackend(GrBackendApi::kVulkan) , fVkInfo(info) {}",Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendDrawableInfo.h,GrBackendDrawableInfo,isValid,7,no,missing,,real_gap,P2,Phase 9 GPU,tracked,bool isValid() const { return fIsValid; },Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendDrawableInfo.h,GrBackendDrawableInfo,backend,7,no,missing,,real_gap,P2,Phase 9 GPU,tracked,GrBackendApi backend() const { return fBackend; },Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendDrawableInfo.h,GrBackendDrawableInfo,getVkDrawableInfo,7,no,missing,,real_gap,P2,Phase 9 GPU,tracked,bool getVkDrawableInfo(GrVkDrawableInfo* outInfo) const { if (this->isValid() && GrBackendApi::kVulkan == fBackend) { *outInfo = fVkInfo; return true; } return false; },Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,GrBackendSemaphore,21,no,missing,,real_gap,P2,Phase 9 GPU,tracked,GrBackendSemaphore();,Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,~GrBackendSemaphore,21,no,false_positive,,false_positive,P0,Phase 10,coverage_polish,~GrBackendSemaphore();,"destructor/lifetime should be represented by wrapper release/delete API, not direct method binding"
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,GrBackendSemaphore,21,no,missing,,real_gap,P2,Phase 9 GPU,tracked,GrBackendSemaphore(const GrBackendSemaphore&);,Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,initVulkan,21,no,missing,,real_gap,P2,Phase 9 GPU,tracked,void initVulkan(VkSemaphore semaphore) { fBackend = GrBackendApi::kVulkan; fVkSemaphore = semaphore; fIsInitialized = true; },Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,vkSemaphore,21,no,missing,,real_gap,P2,Phase 9 GPU,tracked,VkSemaphore vkSemaphore() const { if (!fIsInitialized || GrBackendApi::kVulkan != fBackend) { return VK_NULL_HANDLE; } return fVkSemaphore; },Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,initMetal,21,no,missing,,real_gap,P2,Phase 9 GPU,tracked,"void initMetal(GrMTLHandle event, uint64_t value) { fBackend = GrBackendApi::kMetal; fMtlEvent = event; fMtlValue = value; fIsInitialized = true; }",Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,mtlSemaphore,21,no,missing,,real_gap,P2,Phase 9 GPU,tracked,GrMTLHandle mtlSemaphore() const { if (!fIsInitialized || GrBackendApi::kMetal != fBackend) { return nullptr; } return fMtlEvent; },Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,mtlValue,21,no,missing,,real_gap,P2,Phase 9 GPU,tracked,uint64_t mtlValue() const { if (!fIsInitialized || GrBackendApi::kMetal != fBackend) { return 0; } return fMtlValue; },Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,initDirect3D,21,no,missing,,na,P3,Phase 9 GPU,tracked,void initDirect3D(const GrD3DFenceInfo& info) { fBackend = GrBackendApi::kDirect3D; this->assignD3DFenceInfo(info); fIsInitialized = true; },Phase 2 later: Direct3D backend is not enabled in current Reskia platform/build plan
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,isInitialized,21,no,missing,,real_gap,P2,Phase 9 GPU,tracked,bool isInitialized() const { return fIsInitialized; },Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,backend,21,no,missing,,real_gap,P2,Phase 9 GPU,tracked,GrBackendApi backend() const { return fBackend; },Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,getD3DFenceInfo,21,no,missing,,na,P3,Phase 9 GPU,tracked,bool getD3DFenceInfo(GrD3DFenceInfo* outInfo) const;,Phase 2 later: Direct3D backend is not enabled in current Reskia platform/build plan
include/gpu,include/gpu/GrBackendSurface.h,GrBackendFormat,MakeDxgi,37,yes,missing,GrBackendFormat_MakeMock|GrBackendFormat_MakeMtl|GrBackendFormat_asMockColorType|GrBackendFormat_asMockCompressionType|GrBackendFormat_backend|GrBackendFormat_channelMask|GrBackendFormat_delete|GrBackendFormat_equals,na,P3,Phase 9 GPU,tracked,static GrBackendFormat MakeDxgi(DXGI_FORMAT format) { return GrBackendFormat(format); },Phase 2 later: Direct3D backend is not enabled in current Reskia platform/build plan
include/gpu,include/gpu/GrBackendSurface.h,GrBackendFormat,desc,37,no,missing,GrBackendFormat_MakeMock|GrBackendFormat_MakeMtl|GrBackendFormat_asMockColorType|GrBackendFormat_asMockCompressionType|GrBackendFormat_backend|GrBackendFormat_channelMask|GrBackendFormat_delete|GrBackendFormat_equals,real_gap,P2,Phase 9 GPU,tracked,GrColorFormatDesc desc() const;,Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSurface.h,GrBackendFormat,asMtlFormat,37,no,missing,GrBackendFormat_MakeMock|GrBackendFormat_MakeMtl|GrBackendFormat_asMockColorType|GrBackendFormat_asMockCompressionType|GrBackendFormat_backend|GrBackendFormat_channelMask|GrBackendFormat_delete|GrBackendFormat_equals,real_gap,P2,Phase 9 GPU,tracked,GrMTLPixelFormat asMtlFormat() const;,Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSurface.h,GrBackendFormat,asDxgiFormat,37,no,missing,GrBackendFormat_MakeMock|GrBackendFormat_MakeMtl|GrBackendFormat_asMockColorType|GrBackendFormat_asMockCompressionType|GrBackendFormat_backend|GrBackendFormat_channelMask|GrBackendFormat_delete|GrBackendFormat_equals,na,P3,Phase 9 GPU,tracked,bool asDxgiFormat(DXGI_FORMAT*) const;,Phase 2 later: Direct3D backend is not enabled in current Reskia platform/build plan
include/gpu,include/gpu/GrBackendSurface.h,GrBackendFormat,toStr,37,no,missing,GrBackendFormat_MakeMock|GrBackendFormat_MakeMtl|GrBackendFormat_asMockColorType|GrBackendFormat_asMockCompressionType|GrBackendFormat_backend|GrBackendFormat_channelMask|GrBackendFormat_delete|GrBackendFormat_equals,real_gap,P2,Phase 9 GPU,tracked,SkString toStr() const;,Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSurface.h,GrBackendTexture,dimensions,142,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,"SkISize dimensions() const { return {fWidth, fHeight}; }",Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSurface.h,GrBackendTexture,getLabel,142,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,std::string_view getLabel() const { return fLabel; },Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSurface.h,GrBackendTexture,getMtlTextureInfo,142,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,bool getMtlTextureInfo(GrMtlTextureInfo*) const;,Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSurface.h,GrBackendTexture,getD3DTextureResourceInfo,142,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,na,P3,Phase 9 GPU,tracked,bool getD3DTextureResourceInfo(GrD3DTextureResourceInfo*) const;,Phase 2 later: Direct3D backend is not enabled in current Reskia platform/build plan
include/gpu,include/gpu/GrBackendSurface.h,GrBackendTexture,setD3DResourceState,142,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,na,P3,Phase 9 GPU,tracked,void setD3DResourceState(GrD3DResourceStateEnum);,Phase 2 later: Direct3D backend is not enabled in current Reskia platform/build plan
include/gpu,include/gpu/GrBackendSurface.h,GrBackendTexture,getMockTextureInfo,142,no,missing,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_getBackendFormat|GrBackendTexture_hasMipMaps|GrBackendTexture_hasMipmaps|GrBackendTexture_height|GrBackendTexture_isProtected,real_gap,P2,Phase 9 GPU,tracked,bool getMockTextureInfo(GrMockTextureInfo*) const;,Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
