area,header,class,method,method_line,method_status,matched_capi,triage,priority,residual_kind,signature,generator_action,note
include/gpu,include/gpu/graphite/Context.h,Context,insertRecording,35,covered,Graphite_Context_insertRecording,covered,P3,implementation_done,bool insertRecording(const InsertRecordingInfo&);,Phase 23B Graphite recording covered override,Graphite insertRecording is exposed with a borrowed Recording handle and no callback/semaphore/target options; advanced InsertRecordingInfo fields remain design follow-up.
include/gpu,include/gpu/graphite/Recorder.h,Recorder,snap,66,covered,Graphite_Recorder_snap,covered,P3,implementation_done,std::unique_ptr<Recording> snap();,Phase 23B Graphite recording covered override,Recorder::snap is exposed as an owned Graphite_Recording handle with explicit delete.
include/gpu,include/gpu/graphite/Recorder.h,Recorder,addFinishInfo,66,covered,Graphite_Recorder_addFinishInfo,covered,P3,implementation_done,void addFinishInfo(const InsertFinishInfo&);,Phase 23B Graphite finish callback covered override,Recorder::addFinishInfo is exposed with a C callback bridge whose context is released exactly once when Skia invokes the finished callback.
include/gpu,include/gpu/graphite/Context.h,Context,asyncRescaleAndReadPixels,35,covered,Graphite_Context_asyncRescaleAndReadPixelsFromImage,covered,P3,implementation_done,"void asyncRescaleAndReadPixels(const SkImage* image, const SkImageInfo& dstImageInfo, const SkIRect& srcRect, SkImage::RescaleGamma rescaleGamma, SkImage::RescaleMode rescaleMode, SkImage::ReadPixelsCallback callback, SkImage::ReadPixelsCon",Phase 23B Graphite async readback covered override,Graphite Context image async readback reuses the existing reskia_async_read_pixels_callback_t bridge and returns NULL result on invalid input.
include/gpu,include/gpu/graphite/Context.h,Context,asyncRescaleAndReadPixels,35,covered,Graphite_Context_asyncRescaleAndReadPixelsFromSurface,covered,P3,implementation_done,"void asyncRescaleAndReadPixels(const SkSurface* surface, const SkImageInfo& dstImageInfo, const SkIRect& srcRect, SkImage::RescaleGamma rescaleGamma, SkImage::RescaleMode rescaleMode, SkImage::ReadPixelsCallback callback, SkImage::ReadPixel",Phase 23B Graphite async readback covered override,Graphite Context surface async readback reuses the existing reskia_async_read_pixels_callback_t bridge and returns NULL result on invalid input.
include/gpu,include/gpu/graphite/Context.h,Context,asyncRescaleAndReadPixelsYUV420,35,covered,Graphite_Context_asyncRescaleAndReadPixelsYUV420FromImage,covered,P3,implementation_done,"void asyncRescaleAndReadPixelsYUV420(const SkImage*, SkYUVColorSpace yuvColorSpace, sk_sp<SkColorSpace> dstColorSpace, const SkIRect& srcRect, const SkISize& dstSize, SkImage::RescaleGamma rescaleGamma, SkImage::RescaleMode rescaleMode, SkI",Phase 23B Graphite async readback covered override,Graphite Context image YUV420 async readback reuses existing async result callback and validates dstSize/color space handles.
include/gpu,include/gpu/graphite/Context.h,Context,asyncRescaleAndReadPixelsYUV420,35,covered,Graphite_Context_asyncRescaleAndReadPixelsYUV420FromSurface,covered,P3,implementation_done,"void asyncRescaleAndReadPixelsYUV420(const SkSurface*, SkYUVColorSpace yuvColorSpace, sk_sp<SkColorSpace> dstColorSpace, const SkIRect& srcRect, const SkISize& dstSize, SkImage::RescaleGamma rescaleGamma, SkImage::RescaleMode rescaleMode, S",Phase 23B Graphite async readback covered override,Graphite Context surface YUV420 async readback reuses existing async result callback and validates dstSize/color space handles.
include/gpu,include/gpu/graphite/Context.h,Context,asyncRescaleAndReadPixelsYUVA420,35,covered,Graphite_Context_asyncRescaleAndReadPixelsYUVA420FromImage,covered,P3,implementation_done,"void asyncRescaleAndReadPixelsYUVA420(const SkImage*, SkYUVColorSpace yuvColorSpace, sk_sp<SkColorSpace> dstColorSpace, const SkIRect& srcRect, const SkISize& dstSize, SkImage::RescaleGamma rescaleGamma, SkImage::RescaleMode rescaleMode, Sk",Phase 23B Graphite async readback covered override,Graphite Context image YUVA420 async readback reuses existing async result callback and validates dstSize/color space handles.
include/gpu,include/gpu/graphite/Context.h,Context,asyncRescaleAndReadPixelsYUVA420,35,covered,Graphite_Context_asyncRescaleAndReadPixelsYUVA420FromSurface,covered,P3,implementation_done,"void asyncRescaleAndReadPixelsYUVA420(const SkSurface*, SkYUVColorSpace yuvColorSpace, sk_sp<SkColorSpace> dstColorSpace, const SkIRect& srcRect, const SkISize& dstSize, SkImage::RescaleGamma rescaleGamma, SkImage::RescaleMode rescaleMode, ",Phase 23B Graphite async readback covered override,Graphite Context surface YUVA420 async readback reuses existing async result callback and validates dstSize/color space handles.
include/gpu,include/gpu/graphite/Recorder.h,Recorder,clientImageProvider,66,covered,Graphite_Recorder_clientImageProvider,covered,P3,implementation_done,ImageProvider* clientImageProvider() { return fClientImageProvider.get(); },Phase 23B Graphite provider borrowed override,Recorder::clientImageProvider is exposed as a recorder-owned borrowed opaque pointer; the C ABI does not transfer ImageProvider ownership.
include/gpu,include/gpu/graphite/Recorder.h,Recorder,clientImageProvider,66,covered,Graphite_Recorder_clientImageProvider,covered,P3,implementation_done,const ImageProvider* clientImageProvider() const { return fClientImageProvider.get(); },Phase 23B Graphite provider borrowed override,The const overload is represented by the same borrowed opaque provider accessor because C has no overloads and does not mutate the provider.
include/gpu,include/gpu/graphite/Recorder.h,Recorder,makeDeferredCanvas,66,covered,Graphite_Recorder_makeDeferredCanvas,covered,P3,implementation_done,"SkCanvas* makeDeferredCanvas(const SkImageInfo&, const TextureInfo&);",Phase 23B Graphite deferred canvas override,Recorder::makeDeferredCanvas is exposed as a borrowed reskia_canvas_t pointer that remains valid until the next snap or recorder release.
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,allocateImageMemory,46,missing,,na,P3,vulkan_optional_allocator,"virtual VkResult allocateImageMemory(VkImage image, uint32_t allocationPropertyFlags, skgpu::VulkanBackendMemory* memory) = 0;",Phase 23E Vulkan allocator guard,VulkanMemoryAllocator is a Vulkan-native abstract provider and depends on VkImage/VulkanBackendMemory; keep out of portable C ABI coverage until a Vulkan allocator bridge target exists.
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,allocateBufferMemory,46,missing,,na,P3,vulkan_optional_allocator,"virtual VkResult allocateBufferMemory(VkBuffer buffer, BufferUsage usage, uint32_t allocationPropertyFlags, skgpu::VulkanBackendMemory* memory) = 0;",Phase 23E Vulkan allocator guard,VulkanMemoryAllocator buffer allocation depends on VkBuffer and a callback bridge; defer to optional Vulkan allocator support.
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,getAllocInfo,46,missing,,na,P3,vulkan_optional_allocator,"virtual void getAllocInfo(const skgpu::VulkanBackendMemory&, skgpu::VulkanAlloc*) const = 0;",Phase 23E Vulkan allocator guard,Vulkan allocator metadata uses VulkanBackendMemory/VulkanAlloc and has no portable default provider.
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,mapMemory,46,missing,,na,P3,vulkan_optional_allocator,"virtual void* mapMemory(const skgpu::VulkanBackendMemory&) { return nullptr; }",Phase 23E Vulkan allocator guard,Vulkan memory mapping requires native allocation ownership and pointer lifetime policy; defer to optional Vulkan allocator bridge.
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,mapMemory,46,missing,,na,P3,vulkan_optional_allocator,"virtual VkResult mapMemory(const skgpu::VulkanBackendMemory& memory, void** data) { *data = this->mapMemory(memory); return *data ? VK_SUCCESS : VK_ERROR_INITIALIZATION_FAILED; }",Phase 23E Vulkan allocator guard,Vulkan memory mapping result uses VkResult and native allocation lifetime; defer to optional Vulkan allocator bridge.
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,unmapMemory,46,missing,,na,P3,vulkan_optional_allocator,virtual void unmapMemory(const skgpu::VulkanBackendMemory&) = 0;,Phase 23E Vulkan allocator guard,Vulkan unmap requires native allocation ownership and a concrete provider callback table.
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,flushMappedMemory,46,missing,,na,P3,vulkan_optional_allocator,"virtual void flushMappedMemory(const skgpu::VulkanBackendMemory&, VkDeviceSize, VkDeviceSize) {}",Phase 23E Vulkan allocator guard,Vulkan flush ranges depend on VkDeviceSize and native mapped memory lifetime.
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,flushMemory,46,missing,,na,P3,vulkan_optional_allocator,"virtual VkResult flushMemory(const skgpu::VulkanBackendMemory& memory, VkDeviceSize offset, VkDeviceSize size) { this->flushMappedMemory(memory, offset, size); return VK_SUCCESS; }",Phase 23E Vulkan allocator guard,Vulkan flush wrapper returns VkResult and depends on native allocation range semantics.
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,invalidateMappedMemory,46,missing,,na,P3,vulkan_optional_allocator,"virtual void invalidateMappedMemory(const skgpu::VulkanBackendMemory&, VkDeviceSize, VkDeviceSize) {}",Phase 23E Vulkan allocator guard,Vulkan invalidate ranges depend on VkDeviceSize and native mapped memory lifetime.
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,invalidateMemory,46,missing,,na,P3,vulkan_optional_allocator,"virtual VkResult invalidateMemory(const skgpu::VulkanBackendMemory& memory, VkDeviceSize offset, VkDeviceSize size) { this->invalidateMappedMemory(memory, offset, size); return VK_SUCCESS; }",Phase 23E Vulkan allocator guard,Vulkan invalidate wrapper returns VkResult and depends on native allocation range semantics.
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,freeMemory,46,missing,,na,P3,vulkan_optional_allocator,virtual void freeMemory(const skgpu::VulkanBackendMemory&) = 0;,Phase 23E Vulkan allocator guard,Vulkan free requires a concrete native allocator owner and cannot be represented by portable C ABI alone.
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,totalAllocatedAndUsedMemory,46,missing,,na,P3,vulkan_optional_allocator,"virtual std::pair<uint64_t, uint64_t> totalAllocatedAndUsedMemory() const = 0;",Phase 23E Vulkan allocator guard,Vulkan allocator memory accounting belongs to the optional native allocator bridge.
include/gpu,include/gpu/mtl/MtlMemoryAllocator.h,MtlMemoryAllocator,newBufferWithLength,17,missing,,na,P3,metal_optional_allocator,"virtual id<MTLBuffer> newBufferWithLength(NSUInteger length, MTLResourceOptions options, sk_sp<MtlAlloc>* allocation) = 0;",Phase 23E Metal allocator guard,MtlMemoryAllocator is an Objective-C Metal native abstract provider; expose it only with an optional Metal allocator bridge that owns MTLBuffer and MtlAlloc lifetimes.
include/gpu,include/gpu/mtl/MtlMemoryAllocator.h,MtlMemoryAllocator,newTextureWithDescriptor,17,missing,,na,P3,metal_optional_allocator,"virtual id<MTLTexture> newTextureWithDescriptor(MTLTextureDescriptor* texDesc, sk_sp<MtlAlloc>* allocation) = 0;",Phase 23E Metal allocator guard,MtlMemoryAllocator texture allocation depends on MTLTextureDescriptor/MTLTexture Objective-C lifetime and a concrete callback provider; defer to optional Metal allocator support.
include/gpu,include/gpu/gl/GrGLExtensions.h,GrGLExtensions,init,13,missing,,na,P3,gl_loader_followup,"bool init(GrGLStandard standard, GrGLFunction<GrGLGetStringFn> getString, GrGLFunction<GrGLGetStringiFn> getStringi, GrGLFunction<GrGLGetIntegervFn> getIntegerv, GrGLFunction<GrEGLQueryStringFn> queryString = nullptr, GrEGLDisplay eglDispla",Phase 23D GL loader follow-up,GrGLExtensions::init requires GL function loader callbacks and EGL display ownership; defer until a GL backend loader bridge and smoke target exist.
include/gpu,include/gpu/gl/GrGLExtensions.h,GrGLExtensions,has,13,missing,,na,P3,gl_link_followup,bool has(const char[]) const;,Phase 23D GL loader follow-up,GrGLExtensions::has is implemented in GrGLExtensions.cpp which is not linked in the current target; keep out until GL extension implementation/link policy is added.
include/gpu,include/gpu/gl/GrGLExtensions.h,GrGLExtensions,remove,13,missing,,na,P3,gl_link_followup,bool remove(const char[]);,Phase 23D GL loader follow-up,GrGLExtensions::remove is implemented in GrGLExtensions.cpp which is not linked in the current target; keep out until GL extension implementation/link policy is added.
include/gpu,include/gpu/gl/GrGLExtensions.h,GrGLExtensions,add,13,missing,,na,P3,gl_link_followup,void add(const char[]);,Phase 23D GL loader follow-up,GrGLExtensions::add is implemented in GrGLExtensions.cpp which is not linked in the current target; keep out until GL extension implementation/link policy is added.
include/gpu,include/gpu/gl/GrGLExtensions.h,GrGLExtensions,dumpJSON,13,missing,,na,P3,gl_loader_followup,void dumpJSON(SkJSONWriter*) const;,Phase 23D GL loader follow-up,GrGLExtensions::dumpJSON requires SkJSONWriter ownership and linked GL extension implementation; defer to GL diagnostics bridge.
include/gpu,include/gpu/gl/GrGLInterface.h,GrGLInterface,GrGLInterface,18,missing,,na,P3,gl_loader_followup,GrGLInterface();,Phase 23D GL interface follow-up,GrGLInterface construction is only useful with a complete GL function table; defer until a GL loader owner bridge exists.
include/gpu,include/gpu/gl/GrGLInterface.h,GrGLInterface,validate,18,missing,,na,P3,gl_loader_followup,bool validate() const;,Phase 23D GL interface follow-up,GrGLInterface::validate depends on initialized GL function pointers and advertised standard; defer to GL loader bridge.
include/gpu,include/gpu/gl/GrGLInterface.h,GrGLInterface,checkError,18,missing,,na,P3,gl_loader_followup,"GrGLenum checkError(const char* location, const char* call) const;",Phase 23D GL interface follow-up,GrGLInterface::checkError requires GL function table/error policy and is not safe as an isolated default-object C ABI.
include/gpu,include/gpu/gl/GrGLInterface.h,GrGLInterface,checkAndResetOOMed,18,missing,,na,P3,gl_loader_followup,bool checkAndResetOOMed() const;,Phase 23D GL interface follow-up,GrGLInterface OOM tracking belongs to the GL error-checking function table bridge.
include/gpu,include/gpu/gl/GrGLInterface.h,GrGLInterface,suppressErrorLogging,18,missing,,na,P3,gl_loader_followup,void suppressErrorLogging();,Phase 23D GL interface follow-up,GrGLInterface error logging state is only meaningful with GL check-error support and function table ownership.
include/gpu,include/gpu/gl/GrGLInterface.h,GrGLInterface,GrGLInterface,18,missing,,na,P3,gl_loader_followup,"GrGLInterface(const GrGLInterface& that) : fStandard(that.fStandard) , fExtensions(that.fExtensions) , fFunctions(that.fFunctions) {}",Phase 23D GL interface follow-up,GrGLInterface copy is tied to function table ownership and should be exposed with the GL interface handle design.
include/gpu,include/gpu/gl/GrGLInterface.h,GrGLInterface,hasExtension,51,missing,,na,P3,gl_loader_followup,bool hasExtension(const char ext[]) const { return fExtensions.has(ext); },Phase 23D GL interface follow-up,GrGLInterface::hasExtension delegates to GrGLExtensions::has which is not linked in the current target and needs GL extension policy.
include/gpu,include/gpu/gl/GrGLInterface.h,GrGLInterface,abandon,51,missing,,na,P3,gl_loader_followup,virtual void abandon() const;,Phase 23D GL interface follow-up,GrGLInterface::abandon is a virtual backend lifecycle hook and should be represented by a concrete GL interface bridge.
include/gpu,include/gpu/ShaderErrorHandler.h,ShaderErrorHandler,compileError,8,covered,ShaderErrorHandler_compileError,covered,P3,implementation_done,"virtual void compileError(const char* shader, const char* errors) = 0;",Phase 23C shader error callback bridge,ShaderErrorHandler is exposed as an owned C callback bridge and can be borrowed by GrContextOptions_setShaderErrorHandler.
