row_id,header,class,method,method_line,next_phase,bucket,priority,action,note
11,include/gpu/ganesh/GrExternalTextureGenerator.h,GrExternalTextureGenerator,GrExternalTextureGenerator,24,Phase 23,provider_design,P3,"Design external texture generator bridge","Constructor is only useful with concrete provider bridge."
12,include/gpu/ganesh/GrExternalTextureGenerator.h,GrExternalTextureGenerator,onGenerateTexture,24,Phase 23,provider_design,P3,"Design external texture generator bridge","Override hook; do not bind as ordinary method."
13,include/gpu/ganesh/GrExternalTextureGenerator.h,GrExternalTextureGenerator,generateExternalTexture,24,Phase 23,provider_design,P3,"Design external texture generator bridge","Pure virtual provider method."
14,include/gpu/gl/GrGLExtensions.h,GrGLExtensions,GrGLExtensions,13,Phase 22,platform_value_wrapper,P2,"Implement GL extension set lifecycle/string wrappers","No live GL init required for default local set."
15,include/gpu/gl/GrGLExtensions.h,GrGLExtensions,GrGLExtensions,13,Phase 22,platform_value_wrapper,P2,"Implement GL extension set lifecycle/string wrappers","Copy constructor wrapper."
16,include/gpu/gl/GrGLExtensions.h,GrGLExtensions,swap,13,Phase 22,platform_value_wrapper,P2,"Implement GL extension set lifecycle/string wrappers","Local container operation."
17,include/gpu/gl/GrGLExtensions.h,GrGLExtensions,init,13,Phase 23,callback_design,P3,"Design GL function-loader callback ABI","Requires GL function callbacks and EGL display."
18,include/gpu/gl/GrGLExtensions.h,GrGLExtensions,isInitialized,13,Phase 22,platform_value_wrapper,P2,"Implement GL extension set lifecycle/string wrappers","Local state query."
19,include/gpu/gl/GrGLExtensions.h,GrGLExtensions,has,13,Phase 22,platform_value_wrapper,P2,"Implement GL extension set lifecycle/string wrappers","Local string-set query."
20,include/gpu/gl/GrGLExtensions.h,GrGLExtensions,remove,13,Phase 22,platform_value_wrapper,P2,"Implement GL extension set lifecycle/string wrappers","Local string-set mutation."
21,include/gpu/gl/GrGLExtensions.h,GrGLExtensions,add,13,Phase 22,platform_value_wrapper,P2,"Implement GL extension set lifecycle/string wrappers","Local string-set mutation."
22,include/gpu/gl/GrGLExtensions.h,GrGLExtensions,reset,13,Phase 22,platform_value_wrapper,P2,"Implement GL extension set lifecycle/string wrappers","Local string-set mutation."
23,include/gpu/gl/GrGLExtensions.h,GrGLExtensions,dumpJSON,13,Phase 23,provider_design,P3,"Route through SkJSONWriter wrapper design or classify diagnostic-only","Requires SkJSONWriter ownership."
24,include/gpu/gl/GrGLInterface.h,GrGLInterface,GrGLInterface,18,Phase 22,platform_value_wrapper,P2,"Expose local GL interface lifecycle/query wrappers","No initialized GL functions required for default/copy lifecycle."
25,include/gpu/gl/GrGLInterface.h,GrGLInterface,validate,18,Phase 22,platform_value_wrapper,P2,"Expose local GL interface lifecycle/query wrappers","Likely returns false/default without initialized functions."
26,include/gpu/gl/GrGLInterface.h,GrGLInterface,checkError,18,Phase 22,platform_value_wrapper,P2,"Expose local GL interface lifecycle/query wrappers","Must guard null/default function pointers."
27,include/gpu/gl/GrGLInterface.h,GrGLInterface,checkAndResetOOMed,18,Phase 22,platform_value_wrapper,P2,"Expose local GL interface lifecycle/query wrappers","Must guard null/default function pointers."
28,include/gpu/gl/GrGLInterface.h,GrGLInterface,suppressErrorLogging,18,Phase 22,platform_value_wrapper,P2,"Expose local GL interface lifecycle/query wrappers","State mutation only."
29,include/gpu/gl/GrGLInterface.h,GrGLInterface,GrGLInterface,18,Phase 22,platform_value_wrapper,P2,"Expose local GL interface lifecycle/query wrappers","Copy constructor wrapper."
30,include/gpu/gl/GrGLInterface.h,GrGLInterface,hasExtension,51,Phase 22,platform_value_wrapper,P2,"Expose local GL interface lifecycle/query wrappers","Delegates to extension set."
31,include/gpu/gl/GrGLInterface.h,GrGLInterface,abandon,51,Phase 23,callback_design,P3,"Classify virtual lifecycle hook or expose only for concrete handles","Virtual backend lifecycle hook."
32,include/gpu/gl/GrGLTypes.h,GrGLTextureInfo,operator==,153,Phase 22,value_wrapper,P1,"Implement GL texture/framebuffer equality and protected query wrappers","Header-only value helper."
33,include/gpu/gl/GrGLTypes.h,GrGLTextureInfo,isProtected,153,Phase 22,value_wrapper,P1,"Implement GL texture/framebuffer equality and protected query wrappers","Header-only value helper."
34,include/gpu/gl/GrGLTypes.h,GrGLFramebufferInfo,operator==,169,Phase 22,value_wrapper,P1,"Implement GL texture/framebuffer equality and protected query wrappers","Header-only value helper."
35,include/gpu/gl/GrGLTypes.h,GrGLFramebufferInfo,isProtected,169,Phase 22,value_wrapper,P1,"Implement GL texture/framebuffer equality and protected query wrappers","Header-only value helper."
36,include/gpu/graphite/Context.h,Context,insertRecording,35,Phase 23,provider_design,P3,"Design Graphite recording/readback ownership","Requires recorder/context queue ownership policy."
37,include/gpu/graphite/Context.h,Context,asyncRescaleAndReadPixels,35,Phase 23,provider_design,P3,"Design Graphite async readback callback bridge","Async callback context and pixel result ownership required."
38,include/gpu/graphite/Context.h,Context,asyncRescaleAndReadPixels,35,Phase 23,provider_design,P3,"Design Graphite async readback callback bridge","Surface overload; same ownership policy."
39,include/gpu/graphite/Context.h,Context,asyncRescaleAndReadPixelsYUV420,35,Phase 23,provider_design,P3,"Design Graphite async readback callback bridge","YUV result ownership required."
40,include/gpu/graphite/Context.h,Context,asyncRescaleAndReadPixelsYUV420,35,Phase 23,provider_design,P3,"Design Graphite async readback callback bridge","Surface overload; YUV result ownership required."
41,include/gpu/graphite/Context.h,Context,asyncRescaleAndReadPixelsYUVA420,35,Phase 23,provider_design,P3,"Design Graphite async readback callback bridge","YUVA result ownership required."
42,include/gpu/graphite/Context.h,Context,asyncRescaleAndReadPixelsYUVA420,35,Phase 23,provider_design,P3,"Design Graphite async readback callback bridge","Surface overload; YUVA result ownership required."
43,include/gpu/graphite/Context.h,Context,contextID,147,Phase 22,value_wrapper,P2,"Expose Graphite ContextID accessor","Read-only accessor depends on existing Graphite Context wrapper."
44,include/gpu/graphite/ImageProvider.h,ImageProvider,findOrCreate,12,Phase 23,provider_design,P3,"Design ImageProvider concrete C bridge or classify abstract-only","Pure virtual provider with Recorder and RequiredProperties lifetime questions."
45,include/gpu/graphite/Recorder.h,Recorder,snap,66,Phase 23,provider_design,P3,"Design Recording/deferred canvas/finish ownership","Transfers Recording from Recorder."
46,include/gpu/graphite/Recorder.h,Recorder,clientImageProvider,66,Phase 23,provider_design,P3,"Design ImageProvider ownership on Recorder","Borrowed provider pointer lifetime unclear."
47,include/gpu/graphite/Recorder.h,Recorder,clientImageProvider,66,Phase 23,provider_design,P3,"Design ImageProvider ownership on Recorder","Const borrowed provider pointer lifetime unclear."
48,include/gpu/graphite/Recorder.h,Recorder,addFinishInfo,66,Phase 23,provider_design,P3,"Design finish callback ownership","Finish callback/user data lifetime required."
49,include/gpu/graphite/Recorder.h,Recorder,makeDeferredCanvas,66,Phase 23,provider_design,P3,"Design deferred canvas ownership","Borrowed canvas lifetime tied to Recorder."
50,include/gpu/graphite/dawn/DawnTypes.h,DawnTextureInfo,DawnTextureInfo,9,Phase 21,platform_guard,P3,"Classify Dawn-only constructors behind Dawn availability","Optional Dawn backend not generally enabled."
51,include/gpu/graphite/dawn/DawnTypes.h,DawnTextureInfo,DawnTextureInfo,9,Phase 21,platform_guard,P3,"Classify Dawn-only constructors behind Dawn availability","wgpu::Texture constructor requires Dawn C++ types."
52,include/gpu/graphite/dawn/DawnTypes.h,DawnTextureInfo,DawnTextureInfo,9,Phase 21,platform_guard,P3,"Classify Dawn-only constructors behind Dawn availability","Value constructor still requires Dawn headers."
53,include/gpu/graphite/mtl/MtlGraphiteTypes.h,MtlTextureInfo,MtlTextureInfo,24,Phase 22,platform_value_wrapper,P2,"Implement Metal value constructors behind Apple/Metal guards","Default constructor."
54,include/gpu/graphite/mtl/MtlGraphiteTypes.h,MtlTextureInfo,MtlTextureInfo,24,Phase 22,platform_value_wrapper,P2,"Implement Metal value constructors behind Apple/Metal guards","CFTypeRef ownership must be documented."
55,include/gpu/graphite/mtl/MtlGraphiteTypes.h,MtlTextureInfo,MtlTextureInfo,24,Phase 22,platform_value_wrapper,P2,"Implement Metal value constructors behind Apple/Metal guards","Scalar value constructor."
56,include/gpu/graphite/vk/VulkanGraphiteTypes.h,VulkanTextureInfo,VulkanTextureInfo,9,Phase 22,platform_value_wrapper,P2,"Implement Graphite Vulkan texture info constructors behind Vulkan guard","Default constructor."
57,include/gpu/graphite/vk/VulkanGraphiteTypes.h,VulkanTextureInfo,VulkanTextureInfo,9,Phase 22,platform_value_wrapper,P2,"Implement Graphite Vulkan texture info constructors behind Vulkan guard","Scalar value constructor."
58,include/gpu/mock/GrMockTypes.h,GrMockTextureInfo,GrMockTextureInfo,10,Phase 22,value_wrapper,P1,"Implement mock GPU value wrappers and smoke roundtrip","Default constructor."
59,include/gpu/mock/GrMockTypes.h,GrMockTextureInfo,GrMockTextureInfo,10,Phase 22,value_wrapper,P1,"Implement mock GPU value wrappers and smoke roundtrip","Parameterized constructor."
60,include/gpu/mock/GrMockTypes.h,GrMockTextureInfo,operator==,10,Phase 22,value_wrapper,P1,"Implement mock GPU value wrappers and smoke roundtrip","Equality helper."
61,include/gpu/mock/GrMockTypes.h,GrMockTextureInfo,getBackendFormat,10,Phase 22,value_wrapper,P1,"Implement mock GPU value wrappers and smoke roundtrip","Returns backend format value."
62,include/gpu/mock/GrMockTypes.h,GrMockTextureInfo,compressionType,10,Phase 22,value_wrapper,P1,"Implement mock GPU value wrappers and smoke roundtrip","Accessor."
63,include/gpu/mock/GrMockTypes.h,GrMockTextureInfo,colorType,10,Phase 22,value_wrapper,P1,"Implement mock GPU value wrappers and smoke roundtrip","Accessor; avoid assert on compressed texture."
64,include/gpu/mock/GrMockTypes.h,GrMockTextureInfo,id,10,Phase 22,value_wrapper,P1,"Implement mock GPU value wrappers and smoke roundtrip","Accessor."
65,include/gpu/mock/GrMockTypes.h,GrMockTextureInfo,getProtected,10,Phase 22,value_wrapper,P1,"Implement mock GPU value wrappers and smoke roundtrip","Accessor."
66,include/gpu/mock/GrMockTypes.h,GrMockTextureInfo,isProtected,10,Phase 22,value_wrapper,P1,"Implement mock GPU value wrappers and smoke roundtrip","Accessor."
67,include/gpu/mock/GrMockTypes.h,GrMockRenderTargetInfo,GrMockRenderTargetInfo,58,Phase 22,value_wrapper,P1,"Implement mock GPU value wrappers and smoke roundtrip","Default constructor."
68,include/gpu/mock/GrMockTypes.h,GrMockRenderTargetInfo,GrMockRenderTargetInfo,58,Phase 22,value_wrapper,P1,"Implement mock GPU value wrappers and smoke roundtrip","Parameterized constructor requires nonzero id."
69,include/gpu/mock/GrMockTypes.h,GrMockRenderTargetInfo,operator==,58,Phase 22,value_wrapper,P1,"Implement mock GPU value wrappers and smoke roundtrip","Equality helper."
70,include/gpu/mock/GrMockTypes.h,GrMockRenderTargetInfo,getBackendFormat,58,Phase 22,value_wrapper,P1,"Implement mock GPU value wrappers and smoke roundtrip","Returns backend format value."
71,include/gpu/mock/GrMockTypes.h,GrMockRenderTargetInfo,colorType,58,Phase 22,value_wrapper,P1,"Implement mock GPU value wrappers and smoke roundtrip","Accessor."
72,include/gpu/mock/GrMockTypes.h,GrMockRenderTargetInfo,getProtected,58,Phase 22,value_wrapper,P1,"Implement mock GPU value wrappers and smoke roundtrip","Accessor."
73,include/gpu/mock/GrMockTypes.h,GrMockRenderTargetInfo,isProtected,58,Phase 22,value_wrapper,P1,"Implement mock GPU value wrappers and smoke roundtrip","Accessor."
74,include/gpu/mock/GrMockTypes.h,GrMockOptions,GrMockOptions,104,Phase 22,value_wrapper,P1,"Implement mock GPU value wrappers and smoke roundtrip","Default options constructor."
75,include/gpu/mtl/GrMtlTypes.h,GrMtlTextureInfo,GrMtlTextureInfo,21,Phase 22,platform_value_wrapper,P2,"Implement Metal value constructor/equality behind Apple/Metal guards","Default constructor."
76,include/gpu/mtl/GrMtlTypes.h,GrMtlTextureInfo,operator==,21,Phase 22,platform_value_wrapper,P2,"Implement Metal value constructor/equality behind Apple/Metal guards","CFTypeRef equality."
77,include/gpu/mtl/MtlMemoryAllocator.h,MtlMemoryAllocator,newBufferWithLength,17,Phase 23,allocator_design,P3,"Design platform memory allocator concrete bridge or classify unsupported","Native Metal allocation ownership required."
78,include/gpu/mtl/MtlMemoryAllocator.h,MtlMemoryAllocator,newTextureWithDescriptor,17,Phase 23,allocator_design,P3,"Design platform memory allocator concrete bridge or classify unsupported","Native Metal allocation ownership required."
79,include/gpu/vk/GrVkTypes.h,GrVkImageInfo,operator==,12,Phase 22,value_wrapper,P1,"Implement Vulkan value equality/validity wrappers behind Vulkan guard","Pure value helper."
80,include/gpu/vk/VulkanExtensions.h,VulkanExtensions,VulkanExtensions,11,Phase 22,platform_value_wrapper,P2,"Expose Vulkan extension container construction/query wrappers","Default constructor."
81,include/gpu/vk/VulkanExtensions.h,VulkanExtensions,init,11,Phase 23,callback_design,P3,"Design VulkanGetProc callback/extension list ABI","Requires function pointer/provider inputs."
82,include/gpu/vk/VulkanExtensions.h,VulkanExtensions,hasExtension,11,Phase 22,platform_value_wrapper,P2,"Expose Vulkan extension container construction/query wrappers","Can be covered with empty/default extension set."
83,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,allocateImageMemory,46,Phase 23,allocator_design,P3,"Design platform memory allocator concrete bridge or classify unsupported","Native Vulkan allocation ownership required."
84,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,allocateBufferMemory,46,Phase 23,allocator_design,P3,"Design platform memory allocator concrete bridge or classify unsupported","Native Vulkan allocation ownership required."
85,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,getAllocInfo,46,Phase 23,allocator_design,P3,"Design platform memory allocator concrete bridge or classify unsupported","Native Vulkan allocation ownership required."
86,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,mapMemory,46,Phase 23,allocator_design,P3,"Design platform memory allocator concrete bridge or classify unsupported","Native Vulkan allocation ownership required."
87,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,mapMemory,46,Phase 23,allocator_design,P3,"Design platform memory allocator concrete bridge or classify unsupported","Native Vulkan allocation ownership required."
88,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,unmapMemory,46,Phase 23,allocator_design,P3,"Design platform memory allocator concrete bridge or classify unsupported","Native Vulkan allocation ownership required."
89,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,flushMappedMemory,46,Phase 23,allocator_design,P3,"Design platform memory allocator concrete bridge or classify unsupported","Native Vulkan allocation ownership required."
90,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,flushMemory,46,Phase 23,allocator_design,P3,"Design platform memory allocator concrete bridge or classify unsupported","Native Vulkan allocation ownership required."
91,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,invalidateMappedMemory,46,Phase 23,allocator_design,P3,"Design platform memory allocator concrete bridge or classify unsupported","Native Vulkan allocation ownership required."
92,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,invalidateMemory,46,Phase 23,allocator_design,P3,"Design platform memory allocator concrete bridge or classify unsupported","Native Vulkan allocation ownership required."
93,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,freeMemory,46,Phase 23,allocator_design,P3,"Design platform memory allocator concrete bridge or classify unsupported","Native Vulkan allocation ownership required."
94,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,totalAllocatedAndUsedMemory,46,Phase 23,allocator_design,P3,"Design platform memory allocator concrete bridge or classify unsupported","Native Vulkan allocation ownership required."
95,include/gpu/vk/VulkanTypes.h,VulkanAlloc,operator==,35,Phase 22,value_wrapper,P1,"Implement Vulkan value equality/validity wrappers behind Vulkan guard","Pure value helper."
96,include/gpu/vk/VulkanTypes.h,VulkanYcbcrConversionInfo,operator==,48,Phase 22,value_wrapper,P1,"Implement Vulkan value equality/validity wrappers behind Vulkan guard","Pure value helper."
97,include/gpu/vk/VulkanTypes.h,VulkanYcbcrConversionInfo,operator!=,48,Phase 22,value_wrapper,P1,"Implement Vulkan value equality/validity wrappers behind Vulkan guard","Pure value helper."
98,include/gpu/vk/VulkanTypes.h,VulkanYcbcrConversionInfo,isValid,48,Phase 22,value_wrapper,P1,"Implement Vulkan value equality/validity wrappers behind Vulkan guard","Pure value helper."
